Date : 2022-04-05 15:19:19
Directory : d:\杨易卓-毕业论文\graduation-project
Total : 176 files,  41917 codes, 821 comments, 1145 blanks, all 43883 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| admins\src\views\nested\menu1\menu1-1                                                    |          1 |          7 |          0 |          1 |          8 |
| admins\src\views\nested\menu1\menu1-2                                                    |          3 |         17 |          0 |          3 |         20 |
| admins\src\views\nested\menu1\menu1-2\menu1-2-1                                          |          1 |          5 |          0 |          1 |          6 |
| admins\src\views\nested\menu1\menu1-2\menu1-2-2                                          |          1 |          5 |          0 |          1 |          6 |
| admins\src\views\nested\menu1\menu1-3                                                    |          1 |          5 |          0 |          1 |          6 |
| admins\src\views\nested\menu2                                                            |          1 |          5 |          0 |          1 |          6 |
| admins\src\views\table                                                                   |          1 |         36 |          0 |          3 |         39 |
| admins\src\views\tree                                                                    |          1 |         77 |          0 |          4 |         81 |
| admins\tests                                                                             |          8 |        215 |         14 |         18 |        247 |
| admins\tests\unit                                                                        |          8 |        215 |         14 |         18 |        247 |
| admins\tests\unit\components                                                             |          3 |        120 |         14 |          7 |        141 |
| admins\tests\unit\utils                                                                  |          4 |         90 |          0 |         10 |        100 |
| client                                                                                   |         30 |     15,967 |        190 |        186 |     16,343 |
| client\public                                                                            |          1 |         28 |          1 |          3 |         32 |
| client\src                                                                               |         24 |      3,224 |        185 |        166 |      3,575 |
| client\src\components                                                                    |          5 |        520 |         39 |         27 |        586 |
| client\src\lib                                                                           |          1 |         59 |          0 |          0 |         59 |
| client\src\router                                                                        |          1 |         66 |         20 |          5 |         91 |
| client\src\store                                                                         |          1 |         52 |          4 |          6 |         62 |
| client\src\utils                                                                         |          2 |         46 |         12 |          5 |         63 |
| client\src\views                                                                         |         12 |      2,393 |        106 |        115 |      2,614 |
| client\src\views\detail-pages                                                            |          3 |      1,240 |         65 |         56 |      1,361 |
| client\src\views\navigation-page                                                         |          4 |        252 |          4 |         16 |        272 |
| sever                                                                                    |         20 |      5,085 |        140 |        165 |      5,390 |
| sever\auth                                                                               |          1 |         27 |          2 |          2 |         31 |
| sever\config                                                                             |          1 |          7 |          0 |          1 |          8 |
| sever\controllers                                                                        |          3 |        498 |         42 |         40 |        580 |
| sever\models                                                                             |          4 |        387 |         49 |         55 |        491 |
| sever\public                                                                             |          1 |          7 |          0 |          2 |          9 |
| sever\public\stylesheets                                                                 |          1 |          7 |          0 |          2 |          9 |
| sever\routes                                                                             |          3 |         78 |         36 |         47 |        161 |
| sever\utils                                                                              |          1 |          2 |          1 |          0 |          3 |
| sever\views                                                                              |          3 |         16 |          0 |          5 |         21 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                 | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\杨易卓-毕业论文\graduation-project\README.md                                                 | Markdown           |          2 |          0 |          2 |          4 |
| d:\杨易卓-毕业论文\graduation-project\admin\.VSCodeCounter\2022-04-05_15-18-09\details.md       | Markdown           |         41 |          0 |          6 |         47 |
| d:\杨易卓-毕业论文\graduation-project\admin\.VSCodeCounter\2022-04-05_15-18-09\diff-details.md  | Markdown           |          9 |          0 |          6 |         15 |
| d:\杨易卓-毕业论文\graduation-project\admin\.VSCodeCounter\2022-04-05_15-18-09\diff.md          | Markdown           |         12 |          0 |          7 |         19 |
| d:\杨易卓-毕业论文\graduation-project\admin\.VSCodeCounter\2022-04-05_15-18-09\results.json     | JSON               |          1 |          0 |          0 |          1 |
| d:\杨易卓-毕业论文\graduation-project\admin\.VSCodeCounter\2022-04-05_15-18-09\results.md       | Markdown           |         28 |          0 |          7 |         35 |
| d:\杨易卓-毕业论文\graduation-project\admin\README.md                                           | Markdown           |         20 |          0 |         12 |         32 |
| d:\杨易卓-毕业论文\graduation-project\admin\babel.config.js                                     | JavaScript         |          5 |          0 |          1 |          6 |
| d:\杨易卓-毕业论文\graduation-project\admin\package-lock.json                                   | JSON               |     12,615 |          0 |          1 |     12,616 |
| d:\杨易卓-毕业论文\graduation-project\admin\package.json                                        | JSON               |         54 |          0 |          1 |         55 |
| d:\杨易卓-毕业论文\graduation-project\admin\public\index.html                                   | HTML               |         28 |          1 |          3 |         32 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\App.vue                                         | Vue                |         64 |         14 |          4 |         82 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\components\add-dialog.vue                       | Vue                |        259 |         22 |         10 |        291 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\components\background-box.vue                   | Vue                |         65 |          0 |          5 |         70 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\components\no-data.vue                          | Vue                |         11 |          0 |          3 |         14 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\components\search-box.vue                       | Vue                |         56 |          8 |          4 |         68 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\components\upload.vue                           | Vue                |         94 |          7 |          4 |        105 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\lib\config.js                                   | JavaScript         |         59 |          0 |          0 |         59 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\main.js                                         | JavaScript         |         41 |         18 |          5 |         64 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\router\index.js                                 | JavaScript         |         87 |         19 |          5 |        111 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\store\index.js                                  | JavaScript         |         44 |          4 |          6 |         54 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\utils\http.js                                   | JavaScript         |         37 |          5 |          5 |         47 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\utils\rem.js                                    | JavaScript         |          9 |          7 |          0 |         16 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\views\admin-management.vue                      | Vue                |        380 |         16 |         20 |        416 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\views\check-record.vue                          | Vue                |        272 |          8 |         12 |        292 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\views\detail-pages\detail.vue                   | Vue                |        487 |         23 |         31 |        541 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\views\detail-pages\personal-dynamic.vue         | Vue                |        384 |         21 |         15 |        420 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\views\detail-pages\personal.vue                 | Vue                |        285 |         18 |          8 |        311 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\views\dynamic-management.vue                    | Vue                |        435 |         11 |         26 |        472 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\views\handle-problem.vue                        | Vue                |        307 |         11 |         25 |        343 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\views\header.vue                                | Vue                |        100 |          5 |          4 |        109 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\views\index.vue                                 | Vue                |        139 |          1 |          9 |        149 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\views\login.vue                                 | Vue                |        146 |          5 |         10 |        161 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\views\navbar.vue                                | Vue                |         85 |          1 |          5 |         91 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\views\notFound.vue                              | Vue                |         16 |          0 |          3 |         19 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\views\reply-management.vue                      | Vue                |        337 |         10 |         15 |        362 |
| d:\杨易卓-毕业论文\graduation-project\admin\src\views\user-management.vue                       | Vue                |        433 |         11 |         31 |        475 |
| d:\杨易卓-毕业论文\graduation-project\admin\vue.config.js                                       | JavaScript         |         21 |          4 |          2 |         27 |
| d:\杨易卓-毕业论文\graduation-project\admins\.eslintrc.js                                       | JavaScript         |        195 |          2 |          2 |        199 |
| d:\杨易卓-毕业论文\graduation-project\admins\.travis.yml                                        | YAML               |          5 |          0 |          1 |          6 |
| d:\杨易卓-毕业论文\graduation-project\admins\README-zh.md                                       | Markdown           |         71 |          0 |         41 |        112 |
| d:\杨易卓-毕业论文\graduation-project\admins\README.md                                          | Markdown           |         62 |          0 |         38 |        100 |
| d:\杨易卓-毕业论文\graduation-project\admins\babel.config.js                                    | JavaScript         |         10 |          4 |          1 |         15 |
| d:\杨易卓-毕业论文\graduation-project\admins\build\index.js                                     | JavaScript         |         28 |          0 |          8 |         36 |
| d:\杨易卓-毕业论文\graduation-project\admins\jest.config.js                                     | JavaScript         |         22 |          2 |          1 |         25 |
| d:\杨易卓-毕业论文\graduation-project\admins\jsconfig.json                                      | JSON with Comments |          5 |          5 |          0 |         10 |
| d:\杨易卓-毕业论文\graduation-project\admins\mock\index.js                                      | JavaScript         |         43 |          6 |          9 |         58 |
| d:\杨易卓-毕业论文\graduation-project\admins\mock\mock-server.js                                | JavaScript         |         65 |          6 |         11 |         82 |
| d:\杨易卓-毕业论文\graduation-project\admins\mock\table.js                                      | JavaScript         |         27 |          0 |          3 |         30 |
| d:\杨易卓-毕业论文\graduation-project\admins\mock\user.js                                       | JavaScript         |         70 |          5 |         10 |         85 |
| d:\杨易卓-毕业论文\graduation-project\admins\mock\utils.js                                      | JavaScript         |         20 |          4 |          2 |         26 |
| d:\杨易卓-毕业论文\graduation-project\admins\package.json                                       | JSON               |         62 |          0 |          1 |         63 |
| d:\杨易卓-毕业论文\graduation-project\admins\postcss.config.js                                  | JavaScript         |          5 |          2 |          2 |          9 |
| d:\杨易卓-毕业论文\graduation-project\admins\public\index.html                                  | HTML               |         16 |          1 |          1 |         18 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\App.vue                                        | Vue                |         10 |          0 |          2 |         12 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\api\table.js                                   | JavaScript         |          8 |          0 |          2 |         10 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\api\user.js                                    | JavaScript         |         21 |          0 |          4 |         25 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\components\Breadcrumb\index.vue                | Vue                |         70 |          2 |          7 |         79 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\components\Hamburger\index.vue                 | Vue                |         41 |          0 |          4 |         45 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\components\SvgIcon\index.vue                   | Vue                |         57 |          1 |          5 |         63 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\icons\index.js                                 | JavaScript         |          6 |          1 |          3 |         10 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\icons\svg\dashboard.svg                        | XML                |          1 |          0 |          0 |          1 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\icons\svg\example.svg                          | XML                |          1 |          0 |          0 |          1 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\icons\svg\eye-open.svg                         | XML                |          1 |          0 |          0 |          1 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\icons\svg\eye.svg                              | XML                |          1 |          0 |          0 |          1 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\icons\svg\form.svg                             | XML                |          1 |          0 |          0 |          1 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\icons\svg\link.svg                             | XML                |          1 |          0 |          0 |          1 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\icons\svg\nested.svg                           | XML                |          1 |          0 |          0 |          1 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\icons\svg\password.svg                         | XML                |          1 |          0 |          0 |          1 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\icons\svg\table.svg                            | XML                |          1 |          0 |          0 |          1 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\icons\svg\tree.svg                             | XML                |          1 |          0 |          0 |          1 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\icons\svg\user.svg                             | XML                |          1 |          0 |          0 |          1 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\icons\svgo.yml                                 | YAML               |          5 |         13 |          5 |         23 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\layout\components\AppMain.vue                  | Vue                |         35 |          2 |          4 |         41 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\layout\components\Navbar.vue                   | Vue                |        122 |          0 |         18 |        140 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\layout\components\Sidebar\FixiOSBug.js         | JavaScript         |         24 |          2 |          1 |         27 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\layout\components\Sidebar\Item.vue             | Vue                |         38 |          0 |          4 |         42 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\layout\components\Sidebar\Link.vue             | Vue                |         41 |          0 |          3 |         44 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\layout\components\Sidebar\Logo.vue             | Vue                |         74 |          0 |          9 |         83 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\layout\components\Sidebar\SidebarItem.vue      | Vue                |         83 |          6 |          7 |         96 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\layout\components\Sidebar\index.vue            | Vue                |         53 |          1 |          3 |         57 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\layout\components\index.js                     | JavaScript         |          3 |          0 |          1 |          4 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\layout\index.vue                               | Vue                |         86 |          0 |          8 |         94 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\layout\mixin\ResizeHandler.js                  | JavaScript         |         40 |          2 |          4 |         46 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\main.js                                        | JavaScript         |         23 |         11 |         10 |         44 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\permission.js                                  | JavaScript         |         45 |         10 |         10 |         65 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\router\index.js                                | JavaScript         |        140 |         26 |         16 |        182 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\settings.js                                    | JavaScript         |          5 |          8 |          4 |         17 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\store\getters.js                               | JavaScript         |          8 |          0 |          1 |          9 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\store\index.js                                 | JavaScript         |         16 |          0 |          4 |         20 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\store\modules\app.js                           | JavaScript         |         44 |          0 |          5 |         49 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\store\modules\settings.js                      | JavaScript         |         25 |          1 |          7 |         33 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\store\modules\user.js                          | JavaScript         |         81 |          4 |         13 |         98 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\styles\element-ui.scss                         | SCSS               |         35 |          5 |         10 |         50 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\styles\index.scss                              | SCSS               |         54 |          1 |         11 |         66 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\styles\mixin.scss                              | SCSS               |         24 |          0 |          5 |         29 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\styles\sidebar.scss                            | SCSS               |        180 |          6 |         41 |        227 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\styles\transition.scss                         | SCSS               |         35 |          4 |         10 |         49 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\styles\variables.scss                          | SCSS               |         18 |          3 |          5 |         26 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\utils\auth.js                                  | JavaScript         |         11 |          0 |          5 |         16 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\utils\get-page-title.js                        | JavaScript         |          8 |          0 |          3 |         11 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\utils\index.js                                 | JavaScript         |         88 |         23 |          7 |        118 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\utils\request.js                               | JavaScript         |         56 |         21 |          9 |         86 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\utils\validate.js                              | JavaScript         |          7 |         11 |          3 |         21 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\views\404.vue                                  | Vue                |        225 |          0 |          4 |        229 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\views\dashboard\index.vue                      | Vue                |         25 |          0 |          4 |         29 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\views\form\index.vue                           | Vue                |         37 |          0 |          4 |         41 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\views\login\index.vue                          | Vue                |        210 |          3 |         25 |        238 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\views\nested\menu1\index.vue                   | Vue                |          7 |          0 |          1 |          8 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\views\nested\menu1\menu1-1\index.vue           | Vue                |          7 |          0 |          1 |          8 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\views\nested\menu1\menu1-2\index.vue           | Vue                |          7 |          0 |          1 |          8 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\views\nested\menu1\menu1-2\menu1-2-1\index.vue | Vue                |          5 |          0 |          1 |          6 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\views\nested\menu1\menu1-2\menu1-2-2\index.vue | Vue                |          5 |          0 |          1 |          6 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\views\nested\menu1\menu1-3\index.vue           | Vue                |          5 |          0 |          1 |          6 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\views\nested\menu2\index.vue                   | Vue                |          5 |          0 |          1 |          6 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\views\table\index.vue                          | Vue                |         36 |          0 |          3 |         39 |
| d:\杨易卓-毕业论文\graduation-project\admins\src\views\tree\index.vue                           | Vue                |         77 |          0 |          4 |         81 |
| d:\杨易卓-毕业论文\graduation-project\admins\tests\unit\.eslintrc.js                            | JavaScript         |          5 |          0 |          1 |          6 |
| d:\杨易卓-毕业论文\graduation-project\admins\tests\unit\components\Breadcrumb.spec.js           | JavaScript         |         80 |         14 |          5 |         99 |
| d:\杨易卓-毕业论文\graduation-project\admins\tests\unit\components\Hamburger.spec.js            | JavaScript         |         18 |          0 |          1 |         19 |
| d:\杨易卓-毕业论文\graduation-project\admins\tests\unit\components\SvgIcon.spec.js              | JavaScript         |         22 |          0 |          1 |         23 |
| d:\杨易卓-毕业论文\graduation-project\admins\tests\unit\utils\formatTime.spec.js                | JavaScript         |         28 |          0 |          3 |         31 |
| d:\杨易卓-毕业论文\graduation-project\admins\tests\unit\utils\param2Obj.spec.js                 | JavaScript         |         13 |          0 |          2 |         15 |
| d:\杨易卓-毕业论文\graduation-project\admins\tests\unit\utils\parseTime.spec.js                 | JavaScript         |         33 |          0 |          3 |         36 |
| d:\杨易卓-毕业论文\graduation-project\admins\tests\unit\utils\validate.spec.js                  | JavaScript         |         16 |          0 |          2 |         18 |
| d:\杨易卓-毕业论文\graduation-project\admins\vue.config.js                                      | JavaScript         |         94 |         23 |          8 |        125 |
| d:\杨易卓-毕业论文\graduation-project\client\README.md                                          | Markdown           |         20 |          0 |         12 |         32 |
| d:\杨易卓-毕业论文\graduation-project\client\babel.config.js                                    | JavaScript         |          5 |          0 |          1 |          6 |
| d:\杨易卓-毕业论文\graduation-project\client\package-lock.json                                  | JSON               |     12,615 |          0 |          1 |     12,616 |
| d:\杨易卓-毕业论文\graduation-project\client\package.json                                       | JSON               |         54 |          0 |          1 |         55 |
| d:\杨易卓-毕业论文\graduation-project\client\public\index.html                                  | HTML               |         28 |          1 |          3 |         32 |
| d:\杨易卓-毕业论文\graduation-project\client\src\App.vue                                        | Vue                |         67 |          1 |          4 |         72 |
| d:\杨易卓-毕业论文\graduation-project\client\src\components\add-dialog.vue                      | Vue                |        276 |         24 |         10 |        310 |
| d:\杨易卓-毕业论文\graduation-project\client\src\components\background-box.vue                  | Vue                |         83 |          0 |          6 |         89 |
| d:\杨易卓-毕业论文\graduation-project\client\src\components\no-data.vue                         | Vue                |         11 |          0 |          3 |         14 |
| d:\杨易卓-毕业论文\graduation-project\client\src\components\search-box.vue                      | Vue                |         56 |          8 |          4 |         68 |
| d:\杨易卓-毕业论文\graduation-project\client\src\components\upload.vue                          | Vue                |         94 |          7 |          4 |        105 |
| d:\杨易卓-毕业论文\graduation-project\client\src\lib\config.js                                  | JavaScript         |         59 |          0 |          0 |         59 |
| d:\杨易卓-毕业论文\graduation-project\client\src\main.js                                        | JavaScript         |         21 |          3 |          4 |         28 |
| d:\杨易卓-毕业论文\graduation-project\client\src\router\index.js                                | JavaScript         |         66 |         20 |          5 |         91 |
| d:\杨易卓-毕业论文\graduation-project\client\src\store\index.js                                 | JavaScript         |         52 |          4 |          6 |         62 |
| d:\杨易卓-毕业论文\graduation-project\client\src\utils\http.js                                  | JavaScript         |         37 |          5 |          5 |         47 |
| d:\杨易卓-毕业论文\graduation-project\client\src\utils\rem.js                                   | JavaScript         |          9 |          7 |          0 |         16 |
| d:\杨易卓-毕业论文\graduation-project\client\src\views\detail-pages\detail.vue                  | Vue                |        548 |         26 |         32 |        606 |
| d:\杨易卓-毕业论文\graduation-project\client\src\views\detail-pages\personal-dynamic.vue        | Vue                |        378 |         21 |         15 |        414 |
| d:\杨易卓-毕业论文\graduation-project\client\src\views\detail-pages\personal.vue                | Vue                |        314 |         18 |          9 |        341 |
| d:\杨易卓-毕业论文\graduation-project\client\src\views\header.vue                               | Vue                |        169 |          4 |          8 |        181 |
| d:\杨易卓-毕业论文\graduation-project\client\src\views\help.vue                                 | Vue                |        180 |          7 |          6 |        193 |
| d:\杨易卓-毕业论文\graduation-project\client\src\views\index.vue                                | Vue                |         63 |          2 |          5 |         70 |
| d:\杨易卓-毕业论文\graduation-project\client\src\views\login.vue                                | Vue                |        473 |         24 |         21 |        518 |
| d:\杨易卓-毕业论文\graduation-project\client\src\views\navigation-page\auction.vue              | Vue                |         63 |          1 |          4 |         68 |
| d:\杨易卓-毕业论文\graduation-project\client\src\views\navigation-page\entertainment.vue        | Vue                |         63 |          1 |          4 |         68 |
| d:\杨易卓-毕业论文\graduation-project\client\src\views\navigation-page\friends.vue              | Vue                |         63 |          1 |          4 |         68 |
| d:\杨易卓-毕业论文\graduation-project\client\src\views\navigation-page\questions.vue            | Vue                |         63 |          1 |          4 |         68 |
| d:\杨易卓-毕业论文\graduation-project\client\src\views\notFound.vue                             | Vue                |         16 |          0 |          3 |         19 |
| d:\杨易卓-毕业论文\graduation-project\client\vue.config.js                                      | JavaScript         |         21 |          4 |          2 |         27 |
| d:\杨易卓-毕业论文\graduation-project\sever\app.js                                              | JavaScript         |         39 |         10 |         11 |         60 |
| d:\杨易卓-毕业论文\graduation-project\sever\auth\index.js                                       | JavaScript         |         27 |          2 |          2 |         31 |
| d:\杨易卓-毕业论文\graduation-project\sever\config\db.config.js                                 | JavaScript         |          7 |          0 |          1 |          8 |
| d:\杨易卓-毕业论文\graduation-project\sever\controllers\adminController.js                      | JavaScript         |        261 |         16 |         17 |        294 |
| d:\杨易卓-毕业论文\graduation-project\sever\controllers\dynamicController.js                    | JavaScript         |        153 |         21 |         17 |        191 |
| d:\杨易卓-毕业论文\graduation-project\sever\controllers\userController.js                       | JavaScript         |         84 |          5 |          6 |         95 |
| d:\杨易卓-毕业论文\graduation-project\sever\models\adminModel.js                                | JavaScript         |        228 |         27 |         28 |        283 |
| d:\杨易卓-毕业论文\graduation-project\sever\models\db.js                                        | JavaScript         |         35 |          0 |          3 |         38 |
| d:\杨易卓-毕业论文\graduation-project\sever\models\dynamicModel.js                              | JavaScript         |         80 |         17 |         18 |        115 |
| d:\杨易卓-毕业论文\graduation-project\sever\models\userModel.js                                 | JavaScript         |         44 |          5 |          6 |         55 |
| d:\杨易卓-毕业论文\graduation-project\sever\package-lock.json                                   | JSON               |      3,992 |          0 |          1 |      3,993 |
| d:\杨易卓-毕业论文\graduation-project\sever\package.json                                        | JSON               |         32 |          0 |          1 |         33 |
| d:\杨易卓-毕业论文\graduation-project\sever\public\stylesheets\style.css                        | CSS                |          7 |          0 |          2 |          9 |
